site,date,scientific_name,count,lat,lon,zone,mean_temperature,mean_salinity,mean_turbidity
lower_ross,2026-05-01,Acanthopagrus spp.,4,-19.26,146.81,Downstream,23.79136504946197,28.352806027266535,27.907401230426903
lower_ross,2026-05-01,Lates calcarifer,6,-19.26,146.81,Downstream,23.79136504946197,28.352806027266535,27.907401230426903
lower_ross,2026-05-01,Lutjanus argentimaculatus,3,-19.26,146.81,Downstream,23.79136504946197,28.352806027266535,27.907401230426903
lower_ross,2026-05-01,Platycephalus spp.,2,-19.26,146.81,Downstream,23.79136504946197,28.352806027266535,27.907401230426903
mid_ross,2026-05-01,Acanthopagrus spp.,2,-19.28,146.78,Middle,24.225220695949808,14.910436325269885,25.88716508270717
mid_ross,2026-05-01,Lates calcarifer,4,-19.28,146.78,Middle,24.225220695949808,14.910436325269885,25.88716508270717
mid_ross,2026-05-01,Lutjanus argentimaculatus,2,-19.28,146.78,Middle,24.225220695949808,14.910436325269885,25.88716508270717
mid_ross,2026-05-01,Platycephalus spp.,3,-19.28,146.78,Middle,24.225220695949808,14.910436325269885,25.88716508270717
ross_mouth,2026-05-01,Acanthopagrus spp.,0,-19.25,146.83,Marine,24.111775224914243,34.08698082671796,27.91213219290379
ross_mouth,2026-05-01,Lates calcarifer,3,-19.25,146.83,Marine,24.111775224914243,34.08698082671796,27.91213219290379
ross_mouth,2026-05-01,Lutjanus argentimaculatus,2,-19.25,146.83,Marine,24.111775224914243,34.08698082671796,27.91213219290379
ross_mouth,2026-05-01,Platycephalus spp.,9,-19.25,146.83,Marine,24.111775224914243,34.08698082671796,27.91213219290379
upper_ross,2026-05-01,Acanthopagrus spp.,2,-19.31,146.74,Upstream,24.05739389768456,4.88362949760377,24.672178468217368
upper_ross,2026-05-01,Lates calcarifer,5,-19.31,146.74,Upstream,24.05739389768456,4.88362949760377,24.672178468217368
upper_ross,2026-05-01,Lutjanus argentimaculatus,0,-19.31,146.74,Upstream,24.05739389768456,4.88362949760377,24.672178468217368
upper_ross,2026-05-01,Platycephalus spp.,6,-19.31,146.74,Upstream,24.05739389768456,4.88362949760377,24.672178468217368
lower_ross,2026-05-02,Acanthopagrus spp.,3,-19.26,146.81,Downstream,23.98099216983851,27.741220418886996,24.097998126577686
lower_ross,2026-05-02,Lates calcarifer,1,-19.26,146.81,Downstream,23.98099216983851,27.741220418886996,24.097998126577686
lower_ross,2026-05-02,Lutjanus argentimaculatus,1,-19.26,146.81,Downstream,23.98099216983851,27.741220418886996,24.097998126577686
lower_ross,2026-05-02,Platycephalus spp.,3,-19.26,146.81,Downstream,23.98099216983851,27.741220418886996,24.097998126577686
mid_ross,2026-05-02,Acanthopagrus spp.,2,-19.28,146.78,Middle,23.977502022637854,14.861152396032598,25.91668921839804
mid_ross,2026-05-02,Lates calcarifer,0,-19.28,146.78,Middle,23.977502022637854,14.861152396032598,25.91668921839804
mid_ross,2026-05-02,Lutjanus argentimaculatus,1,-19.28,146.78,Middle,23.977502022637854,14.861152396032598,25.91668921839804
mid_ross,2026-05-02,Platycephalus spp.,3,-19.28,146.78,Middle,23.977502022637854,14.861152396032598,25.91668921839804
ross_mouth,2026-05-02,Acanthopagrus spp.,3,-19.25,146.83,Marine,24.0143105931326,33.82737364844482,27.53917698988348
ross_mouth,2026-05-02,Lates calcarifer,0,-19.25,146.83,Marine,24.0143105931326,33.82737364844482,27.53917698988348
ross_mouth,2026-05-02,Lutjanus argentimaculatus,1,-19.25,146.83,Marine,24.0143105931326,33.82737364844482,27.53917698988348
ross_mouth,2026-05-02,Platycephalus spp.,4,-19.25,146.83,Marine,24.0143105931326,33.82737364844482,27.53917698988348
upper_ross,2026-05-02,Acanthopagrus spp.,2,-19.31,146.74,Upstream,23.921000592366777,4.9073391784607825,25.10221127028434
