site,timestamp,temperature,salinity,turbidity
upper_ross,01/05/2026 00:00,23.7137857202007,4.054812282401752,6.4890455030836165
mid_ross,01/05/2026 00:00,24.133024011116895,15.742962149586853,49.21696714684367
lower_ross,01/05/2026 00:00,24.235579988186522,28.934937666616854,48.13575167860836
ross_mouth,01/05/2026 00:00,24.641465737804378,33.89135001275727,49.81149267824367
upper_ross,01/05/2026 00:15,26.069552506352267,3.9627500538676035,25.184739300282672
mid_ross,01/05/2026 00:15,24.625759712852926,12.05350126501287,34.81659583537839
lower_ross,01/05/2026 00:15,22.899181028739726,30.880414412418453,33.884218173334375
ross_mouth,01/05/2026 00:15,20.559602005240325,33.87088337362224,27.43610103102401
upper_ross,01/05/2026 00:30,24.942634798943075,4.32111521561607,13.048273073509336
mid_ross,01/05/2026 00:30,24.29317730350269,17.379206807422307,31.94103951472789
lower_ross,01/05/2026 00:30,24.03810073369339,30.050944736519142,7.42732295836322
ross_mouth,01/05/2026 00:30,22.797875468133835,33.77903359965762,24.626086479984224
upper_ross,01/05/2026 00:45,20.978473954414813,3.3132318063983606,16.4351200053934
mid_ross,01/05/2026 00:45,24.76760608978937,14.286734412922772,27.13617109344341
lower_ross,01/05/2026 00:45,23.647987536831817,28.938459880746176,44.82222968083806
ross_mouth,01/05/2026 00:45,22.812923455205702,32.23242348727744,15.874439311213791
upper_ross,01/05/2026 01:00,23.3949550754441,6.233645318273071,31.30319682066329
mid_ross,01/05/2026 01:00,26.400210602251555,14.364827579564192,45.84052152815275
lower_ross,01/05/2026 01:00,24.25465912886564,24.136973742852575,25.09916325751692
ross_mouth,01/05/2026 01:00,25.46841136967632,33.37481630733071,12.969669675454497
upper_ross,01/05/2026 01:15,26.13613786348028,5.7492464384240165,23.944906851975247
mid_ross,01/05/2026 01:15,21.297552527706078,17.082981319527686,8.729368584929034
lower_ross,01/05/2026 01:15,23.88634218672932,23.747235323935033,16.09567916742526
ross_mouth,01/05/2026 01:15,25.04494429593698,32.96061436155727,41.713373376987875
upper_ross,01/05/2026 01:30,23.802587976882155,5.700532994998252,5.596666166791692
mid_ross,01/05/2026 01:30,24.830322272898904,13.858939885224586,2.3234145124442875
lower_ross,01/05/2026 01:30,23.861308744250948,30.755737523159905,21.739960248349234
ross_mouth,01/05/2026 01:30,22.500946477191153,33.32289926057963,13.708801993401721
upper_ross,01/05/2026 01:45,22.282123454478977,8.317782667973342,-999
mid_ross,01/05/2026 01:45,24.037089109977845,6.246266466019188,21.43376151449047
lower_ross,01/05/2026 01:45,24.796132488973342,25.29001471798419,45.61068060621619
ross_mouth,01/05/2026 01:45,25.896067539827154,35.23191966805565,27.692238599294797
upper_ross,01/05/2026 02:00,25.06665282044997,5.385711417730733,6.638774260412902
mid_ross,01/05/2026 02:00,24.49110970296417,14.7208126090266,42.91940552764572
lower_ross,01/05/2026 02:00,23.3420499786625,29.425079169669146,27.19814107241109
ross_mouth,01/05/2026 02:00,21.94595747996881,34.686297735442295,35.67452194262296
upper_ross,01/05/2026 02:15,24.80687895841558,8.124716581433178,10.861001355107874
mid_ross,01/05/2026 02:15,26.374049481905587,21.357633439724637,35.06788152246736
lower_ross,01/05/2026 02:15,25.330499726370896,32.71056796337405,17.104917354416102
ross_mouth,01/05/2026 02:15,24.573477014178756,33.594859884692774,43.08287963690236
upper_ross,01/05/2026 02:30,25.403880962745085,0.8278707622957979,18.579946847632527
mid_ross,01/05/2026 02:30,22.48627537426716,20.734642464878934,5.62994052330032
lower_ross,01/05/2026 02:30,22.699714400737477,31.57386662494124,44.86720628477633
ross_mouth,01/05/2026 02:30,26.210964585525804,35.11380304775628,46.82420677924529
upper_ross,01/05/2026 02:45,23.971621758728556,2.7043967078164344,31.942415392724797
mid_ross,01/05/2026 02:45,23.97218005197806,6.6104925286963265,44.11978195142001
lower_ross,01/05/2026 02:45,21.597397523241842,28.97484565211307,15.870850681327283
ross_mouth,01/05/2026 02:45,26.873384549573068,32.79092190249253,21.573177684098482
