scientific_name,zone,n,mean_fish_count,sd_fish_count,se_fish_count,mean_salinity,sd_salinity,se_salinity
Acanthopagrus spp.,Downstream,30,2,1.5085960589122316,0.2754306972098739,27.966913655920795,NA,NA
Acanthopagrus spp.,Marine,30,2.3333333333333335,1.881549862495669,0.34352243425320717,34.02182759144852,NA,NA
Acanthopagrus spp.,Middle,30,2.2333333333333334,1.5687318254659988,0.2864099358279949,14.912216174175564,NA,NA
Acanthopagrus spp.,Upstream,30,2.566666666666667,1.6543220995910688,0.30203651044177876,4.94652586812754,NA,NA
Lates calcarifer,Downstream,30,1.6,1.4044264997156128,0.25641202475075464,27.966913655920795,NA,NA
Lates calcarifer,Marine,30,1.5666666666666667,1.3565507307349296,0.2476711452078792,34.02182759144852,NA,NA
Lates calcarifer,Middle,30,2.2,1.3235271579877137,0.24164189330019153,14.912216174175564,NA,NA
Lates calcarifer,Upstream,30,4.8,1.689725543925138,0.3085002654668281,4.94652586812754,NA,NA
Lutjanus argentimaculatus,Downstream,30,2,1.6400168207716022,0.2994247358081712,27.966913655920795,NA,NA
Lutjanus argentimaculatus,Marine,30,1.5,1.137147065368355,0.20761369963434992,34.02182759144852,NA,NA
Lutjanus argentimaculatus,Middle,30,1.9666666666666666,1.1290317283753193,0.2061320485900693,14.912216174175564,NA,NA
Lutjanus argentimaculatus,Upstream,30,1.9,1.1551981469084383,0.2109093611499728,4.94652586812754,NA,NA
Platycephalus spp.,Downstream,30,2.1,0.9595257449242379,0.17518463166731776,27.966913655920795,NA,NA
Platycephalus spp.,Marine,30,5.666666666666667,1.2954385047312087,0.23651363030068195,34.02182759144852,NA,NA
Platycephalus spp.,Middle,30,1.9666666666666666,1.4499306364701425,0.2647199054708399,14.912216174175564,NA,NA
Platycephalus spp.,Upstream,30,2.3,1.8222759547259613,0.3327005488008906,4.94652586812754,NA,NA
